stress_type,test_topo,entity,anom,tp,fp,fn,precision,recall,f1,rc_correct,rc_total,rc_pct,dominant_rc
NET,cu1_du2,CU,179,159,10,20,0.9408,0.8883,0.9138,159,159,100.0,net_diff
NET,cu1_du2,DU_0,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu1_du2,ANY,179,159,12,20,0.9298,0.8883,0.9086,,,,
NET,cu2_du3du4du5,CU,179,162,14,17,0.9205,0.9050,0.9127,133,162,82.1,net_diff
NET,cu2_du3du4du5,DU_0,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_1,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_2,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,ANY,179,162,15,17,0.9153,0.9050,0.9101,,,,
NET,cu0_du0du1,CU,179,178,4,1,0.9780,0.9944,0.9861,178,178,100.0,net_diff
NET,cu0_du0du1,DU_0,0,0,19,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,DU_1,0,0,4,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,ANY,179,178,27,1,0.8683,0.9944,0.9271,,,,
NET,cu1_du2,CU,179,159,10,20,0.9408,0.8883,0.9138,159,159,100.0,net_diff
NET,cu1_du2,DU_0,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu1_du2,ANY,179,159,12,20,0.9298,0.8883,0.9086,,,,
NET,cu2_du3du4du5,CU,179,162,14,17,0.9205,0.9050,0.9127,133,162,82.1,net_diff
NET,cu2_du3du4du5,DU_0,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_1,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_2,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,ANY,179,162,15,17,0.9153,0.9050,0.9101,,,,
NET,cu0_du0du1,CU,0,0,247,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,DU_0,178,178,17,0,0.9128,1.0000,0.9544,41,178,23.0,pci_19
NET,cu0_du0du1,DU_1,179,178,4,1,0.9780,0.9944,0.9861,107,178,60.1,net_tx
NET,cu0_du0du1,ANY,357,356,21,1,0.9443,0.9972,0.9700,,,,
NET,cu1_du2,CU,0,0,137,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu1_du2,DU_0,179,178,5,1,0.9727,0.9944,0.9834,161,178,90.4,net_rx
NET,cu1_du2,ANY,179,178,12,1,0.9368,0.9944,0.9648,,,,
NET,cu2_du3du4du5,CU,0,0,207,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_0,179,178,4,1,0.9780,0.9944,0.9861,131,178,73.6,net_rx
NET,cu2_du3du4du5,DU_1,179,177,3,2,0.9833,0.9888,0.9861,168,177,94.9,net_rx
NET,cu2_du3du4du5,DU_2,178,178,4,0,0.9780,1.0000,0.9889,178,178,100.0,net_rx
NET,cu2_du3du4du5,ANY,536,533,22,3,0.9604,0.9944,0.9771,,,,
MEM,cu0_du0du1,CU,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu0_du0du1,DU_0,177,177,5,0,0.9725,1.0000,0.9861,177,177,100.0,mem_bytes
MEM,cu0_du0du1,DU_1,177,177,4,0,0.9779,1.0000,0.9888,165,177,93.2,mem_bytes
MEM,cu0_du0du1,ANY,354,354,9,0,0.9752,1.0000,0.9874,,,,
MEM,cu1_du2,CU,0,0,12,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu1_du2,DU_0,176,176,10,0,0.9462,1.0000,0.9724,169,176,96.0,mem_bytes
MEM,cu1_du2,ANY,176,176,21,0,0.8934,1.0000,0.9437,,,,
MEM,cu2_du3du4du5,CU,0,0,20,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,DU_0,177,177,3,0,0.9833,1.0000,0.9916,173,177,97.7,mem_bytes
MEM,cu2_du3du4du5,DU_1,176,176,5,0,0.9724,1.0000,0.9860,176,176,100.0,mem_bytes
MEM,cu2_du3du4du5,DU_2,177,177,4,0,0.9779,1.0000,0.9888,171,177,96.6,mem_bytes
MEM,cu2_du3du4du5,ANY,530,530,32,0,0.9431,1.0000,0.9707,,,,
MEM,cu0_du0du1,CU,177,177,5,0,0.9725,1.0000,0.9861,172,177,97.2,mem_bytes
MEM,cu0_du0du1,DU_0,0,0,4,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu0_du0du1,DU_1,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu0_du0du1,ANY,177,177,9,0,0.9516,1.0000,0.9752,,,,
MEM,cu1_du2,CU,177,177,14,0,0.9267,1.0000,0.9620,175,177,98.9,mem_bytes
MEM,cu1_du2,DU_0,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu1_du2,ANY,177,177,14,0,0.9267,1.0000,0.9620,,,,
MEM,cu2_du3du4du5,CU,177,177,8,0,0.9568,1.0000,0.9779,171,177,96.6,mem_bytes
MEM,cu2_du3du4du5,DU_0,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,DU_1,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,DU_2,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,ANY,177,177,8,0,0.9568,1.0000,0.9779,,,,
CPU,cu0_du0du1,CU,177,177,4,0,0.9779,1.0000,0.9888,177,177,100.0,cpu
CPU,cu0_du0du1,DU_0,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,DU_1,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,ANY,177,177,5,0,0.9725,1.0000,0.9861,,,,
CPU,cu1_du2,CU,177,177,10,0,0.9465,1.0000,0.9725,177,177,100.0,cpu
CPU,cu1_du2,DU_0,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu1_du2,ANY,177,177,10,0,0.9465,1.0000,0.9725,,,,
CPU,cu2_du3du4du5,CU,176,176,10,0,0.9462,1.0000,0.9724,176,176,100.0,cpu
CPU,cu2_du3du4du5,DU_0,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_1,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_2,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,ANY,176,176,10,0,0.9462,1.0000,0.9724,,,,
CPU,cu0_du0du1,CU,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,DU_0,177,177,12,0,0.9365,1.0000,0.9672,177,177,100.0,cpu
CPU,cu0_du0du1,DU_1,177,177,4,0,0.9779,1.0000,0.9888,177,177,100.0,cpu
CPU,cu0_du0du1,ANY,354,354,16,0,0.9568,1.0000,0.9779,,,,
CPU,cu1_du2,CU,0,0,11,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu1_du2,DU_0,177,177,6,0,0.9672,1.0000,0.9833,177,177,100.0,cpu
CPU,cu1_du2,ANY,177,177,17,0,0.9124,1.0000,0.9542,,,,
CPU,cu2_du3du4du5,CU,0,0,14,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_0,177,177,4,0,0.9779,1.0000,0.9888,177,177,100.0,cpu
CPU,cu2_du3du4du5,DU_1,176,176,4,0,0.9778,1.0000,0.9888,176,176,100.0,cpu
CPU,cu2_du3du4du5,DU_2,177,177,3,0,0.9833,1.0000,0.9916,177,177,100.0,cpu
CPU,cu2_du3du4du5,ANY,530,530,25,0,0.9550,1.0000,0.9770,,,,
